outcome,purpose_,dti,borrower_score,payment_inc_ratio
1,debt_consolidation,16.9,0.65,5.21957
0,credit_card,20.69,0.55,2.96373
0,major_purchase,16.64,0.45,7.91089
1,debt_consolidation,26.72,0.35,8.20461
0,credit_card,11.3,0.45,7.12901
0,credit_card,14.84,0.6,2.34424
1,major_purchase,5.72,0.35,18.4406
1,debt_consolidation,11.8,0.35,5.13325
0,debt_consolidation,15.74,0.45,3.35863
0,debt_consolidation,30.32,0.6,7.0848
1,medical,4.4,0.6,2.728
0,debt_consolidation,32.95,0.6,10.4492
0,debt_consolidation,11.33,0.25,4.8756
1,debt_consolidation,29.56,0.4,11.4334
0,debt_consolidation,24.28,0.7,11.294
1,debt_consolidation,2.79,0.6,6.99231
0,debt_consolidation,13.4,0.5,13.4886
1,debt_consolidation,27.56,0.4,3.85686
0,debt_consolidation,20.56,0.6,7.48667
1,credit_card,32.32,0.65,8.05246
1,other,21.24,0.4,1.97104
0,credit_card,2.51,0.45,5.06205
1,small_business,7.3,0.5,3.02107
1,credit_card,13.04,0.55,4.94912
0,debt_consolidation,25.62,0.55,6.43826
0,debt_consolidation,19.99,0.5,4.62795
1,other,7.31,0.5,3.97765
0,debt_consolidation,18.21,0.65,7.71173
1,other,8.79,0.45,15.5629
0,debt_consolidation,26.44,0.55,5.02311
1,debt_consolidation,11.24,0.5,8.68167
1,debt_consolidation,15.39,0.45,13.8847
0,debt_consolidation,23.64,0.65,5.57578
1,credit_card,20.62,0.65,10.0385
0,other,8.36,0.45,8.09928
1,major_purchase,16.23,0.45,4.65343
1,debt_consolidation,21.15,0.4,6.9732
0,home_improvement,21.81,0.2,4.27535
0,credit_card,5.48,0.5,7.24706
0,debt_consolidation,14.55,0.25,19.1007
0,credit_card,12.8,0.5,9.44192
1,credit_card,9.48,0.45,5.2647
0,home_improvement,6.34,0.6,5.9944
0,debt_consolidation,3.8,0.7,3.68445
1,debt_consolidation,16.67,0.55,13.499
1,debt_consolidation,7.66,0.45,7.34477
1,debt_consolidation,8.86,0.45,5.8584
0,small_business,5.98,0.7,3.03273
1,other,16.95,0.4,4.75025
0,debt_consolidation,11.65,0.45,6.47904
0,major_purchase,4.34,0.5,12.6034
1,debt_consolidation,24.43,0.6,12.8755
0,debt_consolidation,18.67,0.55,7.68804
1,credit_card,21.07,0.5,7.32976
1,debt_consolidation,17.66,0.45,10.1666
1,debt_consolidation,18.28,0.3,12.5124
1,debt_consolidation,18.37,0.5,12.048
1,other,17.98,0.4,5.1534
1,debt_consolidation,18.98,0.35,1.01111
0,debt_consolidation,11.5,0.5,8.94425
0,debt_consolidation,9.34,0.45,4.41497
0,debt_consolidation,16.53,0.45,3.17662
0,credit_card,14.4,0.6,12.5889
0,credit_card,10.32,0.65,2.94086
0,debt_consolidation,8.58,0.3,5.52232
1,home_improvement,15.08,0.25,7.52931
1,debt_consolidation,22.14,0.3,3.82291
1,debt_consolidation,17.87,0.6,12.5692
1,debt_consolidation,11.59,0.45,7.95346
0,debt_consolidation,17.59,0.6,8.64912
0,credit_card,20.64,0.45,5.08368
1,debt_consolidation,24.41,0.55,4.19376
1,other,17.57,0.35,4.93924
0,credit_card,28.06,0.45,9.65945
1,credit_card,30.02,0.35,1.53862
0,home_improvement,18.74,0.5,5.59229
1,debt_consolidation,16.18,0.55,7.306
1,other,3.4,0.65,13.3088
0,debt_consolidation,17.29,0.5,3.47963
1,debt_consolidation,13.3,0.6,12.5246
0,home_improvement,5.61,0.65,2.0586
0,debt_consolidation,2.24,0.45,3.54657
1,debt_consolidation,28.06,0.3,7.59699
1,debt_consolidation,12.79,0.45,9.82954
0,debt_consolidation,14.09,0.7,3.12906
0,major_purchase,9.84,0.6,19.6195
1,credit_card,22.13,0.55,2.50007
0,debt_consolidation,13.36,0.6,13.7
1,debt_consolidation,29.82,0.5,7.5936
1,debt_consolidation,13.58,0.6,7.57512
0,debt_consolidation,19.37,0.55,7.06414
1,debt_consolidation,17.24,0.5,5.3064
0,debt_consolidation,16.2,0.4,11.0945
1,debt_consolidation,19.8,0.5,6.10111
1,small_business,2.69,0.55,12.8317
1,debt_consolidation,32.53,0.15,11.2923
1,debt_consolidation,21.12,0.3,9.23308
0,other,5.67,0.65,1.56211
0,debt_consolidation,7.72,0.45,14.5008
0,credit_card,15.05,0.65,18.1467
1,debt_consolidation,7.28,0.65,6.98366
1,medical,18.79,0.5,7.4264
0,credit_card,23.3,0.5,5.02315
0,debt_consolidation,20.21,0.55,5.85825
0,credit_card,8.35,0.55,4.1526
0,debt_consolidation,5.08,0.35,7.83038
0,debt_consolidation,28.22,0.6,8.52015
1,small_business,3.88,0.45,10.1974
0,debt_consolidation,13.17,0.5,4.49806
0,debt_consolidation,14.04,0.55,0.815313
0,credit_card,18.56,0.55,11.8985
1,small_business,11.36,0.65,15.6102
0,debt_consolidation,22.57,0.65,3.17802
0,debt_consolidation,14.19,0.65,3.17727
0,debt_consolidation,19.79,0.4,12.9468
1,credit_card,9.51,0.5,13.9478
1,debt_consolidation,19.53,0.5,10.6428
0,debt_consolidation,9.39,0.5,6.97733
1,debt_consolidation,10.73,0.4,10.336
0,debt_consolidation,20.81,0.8,4.83918
0,debt_consolidation,20.49,0.45,21.0594
0,debt_consolidation,23.66,0.35,11.0606
0,debt_consolidation,16.63,0.6,14.4174
1,debt_consolidation,10.97,0.55,6.2385
1,major_purchase,17.27,0.55,5.995
1,debt_consolidation,29.97,0.6,13.1806
1,debt_consolidation,19.61,0.55,5.86192
0,debt_consolidation,16.73,0.5,14.9765
1,debt_consolidation,13.36,0.45,8.87572
0,credit_card,19.01,0.75,8.43347
1,home_improvement,4.24,0.4,3.67061
1,debt_consolidation,9.82,0.5,5.31147
1,other,8.18,0.65,11.7377
1,debt_consolidation,4.11,0.65,14.8171
1,debt_consolidation,16.86,0.6,18.7648
0,other,0.43,0.45,2.83
0,debt_consolidation,34.9,0.45,6.94416
1,debt_consolidation,7.83,0.35,5.68958
1,other,33.93,0.4,15.1934
0,credit_card,22.14,0.7,4.71376
1,debt_consolidation,13.39,0.5,12.4348
1,other,25.36,0.2,4.06295
1,debt_consolidation,7.62,0.55,1.35981
0,credit_card,27.93,0.5,7.39324
1,debt_consolidation,17.9,0.55,10.4232
1,small_business,25.6,0.35,10.5906
1,debt_consolidation,17.16,0.4,14.1738
0,other,11.41,0.35,2.36185
0,credit_card,23.5,0.55,4.94264
0,debt_consolidation,26.23,0.55,11.7443
0,debt_consolidation,19.27,0.5,6.40371
1,other,18.09,0.45,6.96762
0,other,15.93,0.65,3.07135
0,credit_card,6.35,0.35,9.56626
1,debt_consolidation,5.96,0.3,11.5796
1,debt_consolidation,17.55,0.6,8.00924
1,debt_consolidation,29.25,0.3,9.01509
0,debt_consolidation,12.74,0.65,3.36576
0,other,21.54,0.55,11.0864
1,debt_consolidation,7.39,0.55,10.6623
0,debt_consolidation,29.4,0.4,4.31571
0,credit_card,24.16,0.45,3.4123
1,debt_consolidation,20.58,0.3,2.92391
0,credit_card,9.12,0.55,6.1656
0,debt_consolidation,12.95,0.6,5.30253
1,debt_consolidation,4.88,0.6,3.66281
0,other,13.55,0.65,2.48813
0,debt_consolidation,19.05,0.4,17.1908
0,debt_consolidation,11.06,0.65,13.9333
0,debt_consolidation,23.06,0.5,6.86716
0,debt_consolidation,20.14,0.4,9.49544
0,other,21.66,0.55,15.4537
0,debt_consolidation,10.87,0.5,3.3635
0,small_business,9.81,0.7,13.2478
1,debt_consolidation,20.27,0.4,11.4551
1,credit_card,14.92,0.2,14.7162
0,home_improvement,5.1,0.5,2.94542
0,debt_consolidation,24.59,0.5,13.1036
0,medical,0.0,0.6,15.192
0,debt_consolidation,18.96,0.65,9.60468
1,home_improvement,10.55,0.65,7.37436
0,debt_consolidation,12.79,0.6,10.5392
0,medical,12.6,0.55,5.91257
1,debt_consolidation,21.85,0.5,6.99855
1,other,33.73,0.4,5.03486
1,credit_card,25.41,0.35,5.52539
1,credit_card,19.68,0.4,10.5804
0,debt_consolidation,15.73,0.6,3.93813
1,debt_consolidation,14.33,0.7,4.93559
1,debt_consolidation,18.38,0.35,11.7734
0,credit_card,29.69,0.35,8.57195
0,home_improvement,18.3,0.7,4.39349
1,other,0.46,0.45,2.94
0,other,21.75,0.35,2.90444
1,debt_consolidation,2.83,0.35,3.11625
0,debt_consolidation,11.67,0.5,7.39186
0,debt_consolidation,8.85,0.6,9.41777
0,other,0.96,0.8,1.54864
0,debt_consolidation,10.28,0.55,7.86277
1,home_improvement,23.82,0.5,6.17567
1,debt_consolidation,18.62,0.45,6.73104
1,debt_consolidation,8.93,0.5,10.0146
0,debt_consolidation,11.47,0.6,11.8547
0,credit_card,14.29,0.35,4.21329
1,debt_consolidation,18.13,0.5,4.78286
1,credit_card,21.26,0.6,3.26606
0,debt_consolidation,18.81,0.55,3.36135
0,credit_card,8.47,0.5,5.08885
0,other,15.46,0.5,11.2952
1,major_purchase,21.0,0.6,2.86448
1,small_business,18.53,0.4,10.6262
0,debt_consolidation,15.3,0.65,15.7948
1,other,18.87,0.6,11.9808
0,major_purchase,11.96,0.6,13.5712
1,debt_consolidation,17.72,0.6,11.7831
0,debt_consolidation,24.8,0.45,10.0146
0,debt_consolidation,27.72,0.55,5.39952
0,home_improvement,15.09,0.4,5.23664
0,home_improvement,6.71,0.45,1.27038
1,debt_consolidation,15.04,0.5,6.98585
0,credit_card,20.64,0.5,6.642
1,home_improvement,15.16,0.45,9.50826
0,debt_consolidation,23.64,0.7,8.5864
0,debt_consolidation,29.69,0.45,7.02502
0,small_business,24.83,0.5,7.24727
0,debt_consolidation,16.2,0.55,4.42152
0,major_purchase,17.6,0.45,12.4159
0,credit_card,7.36,0.4,6.9888
0,credit_card,29.44,0.4,6.30496
1,debt_consolidation,20.6,0.55,12.6509
0,debt_consolidation,25.6,0.5,6.4525
1,credit_card,24.65,0.4,15.7941
0,debt_consolidation,10.78,0.35,5.30009
0,debt_consolidation,2.71,0.75,9.55981
0,debt_consolidation,26.14,0.4,4.74
1,other,16.2,0.45,2.24496
1,other,23.84,0.45,10.339
1,other,1.7,0.5,4.891
1,debt_consolidation,9.67,0.45,5.0123
1,debt_consolidation,6.58,0.6,12.7507
1,other,13.72,0.35,2.17375
1,credit_card,31.31,0.3,14.4499
1,credit_card,17.33,0.3,4.44655
0,credit_card,3.42,0.35,2.8068
0,debt_consolidation,15.15,0.45,15.2893
0,debt_consolidation,6.57,0.75,10.9235
1,debt_consolidation,19.73,0.6,11.8681
0,credit_card,31.29,0.5,13.0549
0,credit_card,8.01,0.75,2.07424
0,other,19.11,0.15,7.77401
0,debt_consolidation,9.91,0.65,3.54422
1,debt_consolidation,5.41,0.35,19.5908
0,debt_consolidation,7.8,0.45,5.32461
1,credit_card,31.29,0.55,11.9778
1,debt_consolidation,14.61,0.55,18.2411
0,credit_card,12.2,0.6,7.51485
0,small_business,24.04,0.75,5.976
0,debt_consolidation,9.25,0.5,3.39154
1,home_improvement,17.64,0.6,3.09278
1,other,21.02,0.25,15.5122
1,other,0.0,0.25,6.74467
0,credit_card,19.62,0.7,7.23232
0,debt_consolidation,10.26,0.4,6.504
1,debt_consolidation,9.17,0.45,7.26972
0,debt_consolidation,15.17,0.45,6.61354
0,debt_consolidation,13.11,0.7,11.339
1,debt_consolidation,14.92,0.55,18.3567
0,home_improvement,3.98,0.55,2.1209
1,debt_consolidation,21.2,0.55,6.70725
0,debt_consolidation,5.16,0.45,7.582
0,home_improvement,3.03,0.5,8.039
0,debt_consolidation,8.7,0.65,7.00133
0,debt_consolidation,6.84,0.6,8.5661
0,credit_card,13.93,0.45,4.16171
0,home_improvement,7.33,0.7,2.58426
0,home_improvement,5.0,0.65,4.32851
1,major_purchase,15.99,0.45,7.13878
1,debt_consolidation,11.92,0.3,10.5275
1,credit_card,27.35,0.4,13.523
0,credit_card,7.07,0.45,5.19905
1,debt_consolidation,23.87,0.3,14.1551
0,credit_card,28.44,0.6,8.03966
0,home_improvement,25.42,0.55,6.93962
0,debt_consolidation,27.96,0.65,10.1268
0,credit_card,9.17,0.6,3.52151
1,debt_consolidation,7.1,0.35,4.94479
1,debt_consolidation,17.33,0.6,3.04848
1,other,4.37,0.4,7.29312
0,debt_consolidation,28.11,0.6,8.17714
0,debt_consolidation,3.17,0.6,3.6504
1,debt_consolidation,25.63,0.2,15.1926
1,other,18.43,0.4,9.52213
0,debt_consolidation,26.09,0.45,3.19655
1,debt_consolidation,21.16,0.5,17.772
1,debt_consolidation,9.47,0.5,14.4162
0,other,21.45,0.5,6.40194
0,credit_card,4.03,0.7,3.26875
1,credit_card,14.73,0.45,2.66569
0,credit_card,11.31,0.45,9.5664
0,debt_consolidation,18.19,0.45,7.7754
1,debt_consolidation,2.42,0.5,7.02867
0,debt_consolidation,10.31,0.3,8.93077
1,credit_card,3.34,0.55,3.08528
1,debt_consolidation,22.58,0.4,9.03776
1,other,15.46,0.3,9.37884
0,debt_consolidation,29.83,0.45,7.76883
1,debt_consolidation,23.01,0.6,13.8504
0,debt_consolidation,23.04,0.6,0.78296
1,debt_consolidation,20.76,0.5,7.7856
0,debt_consolidation,13.75,0.55,3.55783
0,credit_card,15.73,0.4,7.40681
0,medical,14.59,0.65,1.7532
1,other,14.03,0.55,11.128
0,debt_consolidation,17.17,0.55,13.7174
0,debt_consolidation,21.32,0.65,7.0118
1,debt_consolidation,32.82,0.3,15.1377
0,debt_consolidation,15.32,0.55,5.72492
1,medical,14.9,0.45,4.4305
0,debt_consolidation,14.61,0.3,8.22615
1,credit_card,16.83,0.45,7.59063
1,debt_consolidation,4.99,0.6,3.4018
1,home_improvement,5.61,0.65,0.989824
0,debt_consolidation,17.76,0.4,7.87657
0,credit_card,22.56,0.45,10.2585
1,credit_card,20.75,0.55,7.3008
1,home_improvement,25.9,0.25,7.5466
0,debt_consolidation,14.64,0.35,15.2327
1,debt_consolidation,28.42,0.3,13.3317
1,small_business,7.54,0.45,1.60149
0,major_purchase,2.82,0.55,15.3822
1,major_purchase,7.4,0.6,7.7829
1,small_business,14.16,0.75,5.79288
0,debt_consolidation,12.21,0.5,12.372
1,debt_consolidation,15.96,0.4,4.8516
1,credit_card,17.56,0.65,12.4749
1,credit_card,18.98,0.55,12.239
0,credit_card,26.96,0.7,10.8892
1,credit_card,2.57,0.5,7.90869
1,debt_consolidation,12.19,0.6,6.5424
1,debt_consolidation,21.59,0.55,14.0686
0,home_improvement,6.4,0.7,5.4744
1,small_business,27.68,0.6,8.9165
0,other,5.27,0.15,1.96645
1,home_improvement,13.3,0.7,2.976
1,credit_card,18.72,0.5,3.32769
0,debt_consolidation,12.09,0.75,4.67727
0,debt_consolidation,29.49,0.35,9.7377
1,other,28.18,0.4,12.959
0,debt_consolidation,21.18,0.5,11.7431
0,debt_consolidation,19.98,0.5,5.41725
0,debt_consolidation,22.73,0.6,5.7734
0,medical,1.54,0.75,4.53408
1,other,14.91,0.55,2.6412
1,debt_consolidation,18.42,0.3,3.36944
1,credit_card,25.3,0.35,11.3407
0,debt_consolidation,20.26,0.5,7.37095
0,debt_consolidation,5.44,0.65,8.26695
0,credit_card,8.76,0.65,7.3786
1,other,12.69,0.65,3.83265
1,major_purchase,2.6,0.65,4.682
0,credit_card,10.98,0.35,7.74584
1,credit_card,21.82,0.6,4.047
0,credit_card,11.87,0.55,12.2147
0,credit_card,3.89,0.65,2.8851
1,debt_consolidation,15.72,0.55,8.73831
0,debt_consolidation,26.39,0.55,13.1814
1,credit_card,31.74,0.25,12.6508
0,home_improvement,4.35,0.65,2.76691
0,debt_consolidation,0.61,0.6,1.91927
0,credit_card,16.49,0.65,7.28723
1,other,16.88,0.45,4.66535
0,credit_card,17.7,0.5,8.83794
0,other,9.8,0.65,2.4075
1,credit_card,27.51,0.55,7.5696
1,credit_card,7.13,0.65,11.764
1,small_business,7.05,0.65,9.2112
0,debt_consolidation,2.66,0.55,2.99372
1,debt_consolidation,1.11,0.35,6.89291
0,debt_consolidation,2.37,0.55,3.1492
1,debt_consolidation,22.71,0.4,6.75212
0,debt_consolidation,18.83,0.5,3.48608
0,debt_consolidation,20.9,0.55,6.526
0,debt_consolidation,23.47,0.45,14.2176
1,debt_consolidation,12.4,0.4,10.9884
0,debt_consolidation,18.35,0.55,4.93128
1,debt_consolidation,13.29,0.4,5.6448
0,debt_consolidation,13.8,0.55,9.46717
1,credit_card,11.76,0.4,4.64592
0,debt_consolidation,13.27,0.6,5.64823
1,debt_consolidation,28.47,0.4,14.6723
0,credit_card,7.49,0.5,3.07214
0,credit_card,11.7,0.55,7.46143
0,debt_consolidation,10.22,0.55,3.32089
0,credit_card,9.73,0.75,5.00667
1,debt_consolidation,6.44,0.5,7.03044
0,debt_consolidation,4.96,0.55,11.1808
0,other,8.18,0.6,4.7521
0,debt_consolidation,14.88,0.55,5.16
0,debt_consolidation,24.5,0.55,12.2121
1,debt_consolidation,13.7,0.55,10.8142
0,credit_card,15.92,0.5,8.28579
0,debt_consolidation,27.3,0.65,5.1014
1,debt_consolidation,8.99,0.6,6.61458
1,home_improvement,8.56,0.65,3.25412
0,debt_consolidation,24.75,0.6,8.88075
0,debt_consolidation,10.74,0.5,7.43777
1,debt_consolidation,17.19,0.65,9.5665
1,credit_card,18.67,0.55,9.99823
0,major_purchase,2.0,0.6,6.95156
0,home_improvement,15.33,0.55,3.37138
1,debt_consolidation,9.82,0.6,13.4991
0,debt_consolidation,10.34,0.6,9.7322
1,debt_consolidation,3.88,0.45,5.35946
0,debt_consolidation,15.97,0.65,3.09233
1,debt_consolidation,16.27,0.4,10.6469
1,debt_consolidation,25.17,0.4,6.94073
0,home_improvement,15.8,0.7,4.30813
1,debt_consolidation,27.35,0.3,14.9549
0,medical,12.2,0.6,2.35244
1,debt_consolidation,28.96,0.25,11.6576
1,other,13.58,0.4,7.96579
0,other,15.99,0.4,13.0851
1,debt_consolidation,28.86,0.4,7.50885
1,debt_consolidation,20.18,0.35,7.33633
1,debt_consolidation,25.85,0.35,15.2219
1,debt_consolidation,14.82,0.4,8.5044
0,debt_consolidation,9.57,0.45,8.68005
1,debt_consolidation,28.82,0.5,9.56331
0,debt_consolidation,16.8,0.5,11.3013
1,debt_consolidation,27.87,0.6,15.0309
0,home_improvement,16.24,0.6,4.38012
1,debt_consolidation,26.4,0.4,5.49391
0,debt_consolidation,13.56,0.7,9.55269
0,other,3.9,0.4,1.5516
0,debt_consolidation,14.35,0.7,7.88431
0,other,4.84,0.55,9.11325
1,debt_consolidation,15.66,0.4,4.43084
1,debt_consolidation,11.76,0.5,3.39105
1,small_business,17.97,0.45,10.6651
0,debt_consolidation,20.78,0.45,5.14283
0,credit_card,22.44,0.6,9.93891
1,debt_consolidation,21.9,0.6,8.62457
0,credit_card,11.42,0.5,10.466
0,credit_card,6.95,0.5,4.06708
1,debt_consolidation,26.98,0.35,10.1467
0,debt_consolidation,11.9,0.4,5.80514
0,debt_consolidation,2.04,0.9,6.3882
1,debt_consolidation,2.26,0.3,3.41745
1,debt_consolidation,17.33,0.4,4.85906
0,credit_card,19.55,0.4,12.2752
1,debt_consolidation,31.88,0.55,13.8533
0,credit_card,18.44,0.7,13.5314
1,debt_consolidation,24.87,0.35,15.4262
1,debt_consolidation,29.66,0.45,14.3145
0,debt_consolidation,11.62,0.55,3.98283
1,other,12.94,0.4,3.72511
0,home_improvement,0.29,0.35,7.78549
1,debt_consolidation,21.13,0.4,18.6978
0,credit_card,19.65,0.8,6.04042
1,small_business,14.76,0.3,6.8444
1,debt_consolidation,6.68,0.5,3.11896
1,debt_consolidation,20.38,0.3,15.8146
0,home_improvement,2.92,0.75,5.382
1,major_purchase,21.91,0.6,11.58
0,debt_consolidation,7.6,0.7,3.82042
1,debt_consolidation,15.37,0.6,20.042
0,debt_consolidation,10.57,0.3,7.36937
1,credit_card,6.36,0.55,9.92338
0,debt_consolidation,22.24,0.35,14.1165
0,debt_consolidation,7.85,0.55,11.233
0,credit_card,21.08,0.45,7.80817
1,debt_consolidation,28.9,0.5,2.6115
0,debt_consolidation,10.11,0.6,6.91787
0,other,23.25,0.5,3.41153
0,debt_consolidation,0.7,0.8,6.36176
0,debt_consolidation,13.62,0.5,15.1092
1,debt_consolidation,24.69,0.4,9.46571
0,debt_consolidation,6.92,0.4,7.80621
1,credit_card,17.58,0.4,12.9233
1,home_improvement,12.0,0.35,6.45082
0,debt_consolidation,9.64,0.4,2.94936
1,major_purchase,19.39,0.45,5.259
0,other,9.73,0.5,3.53889
0,debt_consolidation,15.82,0.75,5.97792
1,home_improvement,5.77,0.55,22.2609
0,debt_consolidation,12.18,0.45,3.29326
0,debt_consolidation,17.9,0.45,15.9782
0,credit_card,7.16,0.55,8.55557
0,credit_card,34.01,0.2,6.87472
0,debt_consolidation,11.49,0.7,9.17767
0,credit_card,19.25,0.4,5.30776
1,debt_consolidation,18.33,0.5,9.23003
1,major_purchase,14.85,0.55,0.984105
1,debt_consolidation,28.37,0.2,17.088
1,debt_consolidation,12.87,0.5,4.36496
0,other,11.74,0.25,6.68854
1,credit_card,6.96,0.55,3.47126
0,major_purchase,25.96,0.3,4.83074
1,debt_consolidation,14.49,0.55,16.9698
1,debt_consolidation,29.53,0.5,10.6535
1,credit_card,13.12,0.65,5.92606
0,debt_consolidation,8.76,0.35,6.51657
1,credit_card,14.88,0.5,11.606
0,debt_consolidation,27.75,0.55,7.788
0,debt_consolidation,22.12,0.5,5.95553
0,credit_card,14.85,0.6,1.0281
1,debt_consolidation,20.53,0.4,7.29089
1,other,17.52,0.4,12.6971
1,debt_consolidation,22.36,0.25,15.5245
0,debt_consolidation,25.45,0.5,14.4074
1,other,17.66,0.3,2.89872
1,debt_consolidation,10.84,0.35,5.99527
1,credit_card,12.14,0.65,10.8869
0,credit_card,23.9,0.6,18.4283
0,home_improvement,13.94,0.5,3.36694
1,debt_consolidation,17.72,0.45,13.052
0,debt_consolidation,17.34,0.6,16.3259
0,credit_card,7.35,0.65,5.03539
1,debt_consolidation,8.88,0.6,10.1383
0,home_improvement,12.93,0.7,9.62411
0,major_purchase,1.88,0.9,1.35535
1,other,15.6,0.45,7.8024
0,debt_consolidation,9.3,0.35,5.59415
0,credit_card,25.54,0.45,18.4883
1,credit_card,6.6,0.45,2.13
1,debt_consolidation,13.11,0.4,15.8209
1,debt_consolidation,21.94,0.35,11.5313
0,debt_consolidation,4.12,0.6,2.8519
0,debt_consolidation,9.05,0.35,13.094
0,debt_consolidation,13.24,0.4,2.5986
1,other,21.68,0.5,14.8076
0,debt_consolidation,3.56,0.5,5.67915
1,debt_consolidation,23.74,0.5,7.81432
1,debt_consolidation,23.48,0.65,13.1451
1,debt_consolidation,34.79,0.35,13.7132
1,home_improvement,18.0,0.3,1.02881
1,other,28.59,0.55,9.15707
1,debt_consolidation,14.11,0.5,9.35282
0,debt_consolidation,7.24,0.55,2.51321
1,debt_consolidation,18.99,0.65,11.0613
1,credit_card,13.96,0.7,16.0234
0,home_improvement,11.52,0.45,6.63387
1,debt_consolidation,21.59,0.45,9.66923
0,debt_consolidation,20.83,0.6,11.853
0,debt_consolidation,14.08,0.6,13.1371
1,credit_card,21.29,0.2,8.15894
1,debt_consolidation,24.6,0.35,13.5631
1,small_business,15.47,0.4,5.83104
1,major_purchase,9.97,0.3,9.50633
0,debt_consolidation,14.66,0.4,6.75859
1,major_purchase,31.4,0.4,9.06137
0,credit_card,12.93,0.7,9.6339
1,debt_consolidation,24.36,0.35,3.77486
1,debt_consolidation,18.12,0.5,3.82458
0,debt_consolidation,14.88,0.55,11.929
0,small_business,10.69,0.6,9.4492
1,other,14.95,0.4,12.5007
0,credit_card,10.17,0.4,6.02608
0,debt_consolidation,13.66,0.25,12.8336
1,debt_consolidation,12.31,0.55,8.2716
1,debt_consolidation,13.52,0.5,7.43117
0,debt_consolidation,11.89,0.75,1.73612
1,debt_consolidation,22.69,0.4,4.73439
1,debt_consolidation,1.24,0.55,3.9148
0,debt_consolidation,3.35,0.65,3.91916
1,credit_card,30.66,0.65,11.5865
1,debt_consolidation,30.65,0.5,12.0676
1,debt_consolidation,16.94,0.55,5.93836
0,debt_consolidation,25.5,0.45,9.3855
0,debt_consolidation,3.3,0.55,5.01187
0,debt_consolidation,13.76,0.5,5.86463
1,debt_consolidation,8.78,0.25,4.82
0,major_purchase,11.41,0.4,10.3851
1,debt_consolidation,23.96,0.3,4.1004
0,credit_card,22.41,0.35,7.59665
1,debt_consolidation,20.55,0.45,4.99528
1,debt_consolidation,30.52,0.5,10.7362
0,debt_consolidation,21.26,0.5,9.0948
1,debt_consolidation,29.4,0.35,12.2627
0,credit_card,16.68,0.35,4.896
1,other,17.59,0.55,1.57045
1,debt_consolidation,28.2,0.55,12.0279
0,credit_card,16.63,0.35,8.318
1,debt_consolidation,16.42,0.3,16.5284
0,debt_consolidation,11.3,0.6,10.3612
0,other,2.05,0.7,6.00937
1,debt_consolidation,6.43,0.8,4.02907
1,credit_card,20.91,0.45,16.4306
0,other,10.95,0.6,6.85224
1,debt_consolidation,9.62,0.5,10.8982
0,debt_consolidation,9.66,0.5,7.5186
0,home_improvement,10.95,0.5,4.49542
0,home_improvement,6.71,0.65,2.29556
1,debt_consolidation,16.42,0.4,10.1344
0,credit_card,8.38,0.5,4.80126
0,major_purchase,7.08,0.75,2.43493
1,debt_consolidation,32.7,0.45,6.5364
1,debt_consolidation,13.4,0.4,7.6344
1,other,1.87,0.65,4.11961
1,debt_consolidation,32.78,0.2,14.4515
1,debt_consolidation,17.27,0.6,15.9704
1,debt_consolidation,15.8,0.45,11.532
1,debt_consolidation,11.32,0.4,4.87017
1,debt_consolidation,26.06,0.35,4.76187
0,debt_consolidation,23.02,0.55,13.0111
1,debt_consolidation,20.04,0.45,5.23953
1,debt_consolidation,22.94,0.45,11.3066
0,debt_consolidation,30.96,0.6,12.5148
1,debt_consolidation,16.39,0.6,9.87042
1,debt_consolidation,14.28,0.5,5.4566
0,debt_consolidation,32.62,0.7,13.4966
1,debt_consolidation,27.36,0.4,5.61429
0,debt_consolidation,10.51,0.55,4.91676
0,debt_consolidation,21.71,0.5,12.9136
0,medical,11.35,0.7,4.41565
1,debt_consolidation,27.18,0.45,7.40174
1,home_improvement,2.16,0.45,2.56753
0,debt_consolidation,26.4,0.3,12.1311
1,debt_consolidation,19.15,0.35,6.771
0,debt_consolidation,25.94,0.5,4.12058
0,debt_consolidation,12.66,0.5,15.3879
1,debt_consolidation,14.88,0.5,8.3664
1,debt_consolidation,16.68,0.55,16.5639
0,credit_card,9.98,0.5,12.2032
1,debt_consolidation,14.54,0.5,6.6756
1,other,19.03,0.3,1.75966
1,home_improvement,19.26,0.6,13.3118
1,debt_consolidation,23.08,0.3,14.5124
0,debt_consolidation,1.98,0.55,2.62062
1,other,9.17,0.35,2.20848
1,credit_card,7.23,0.55,2.6568
1,debt_consolidation,23.4,0.35,5.0205
0,other,20.96,0.75,8.6295
1,other,14.55,0.5,3.59887
1,debt_consolidation,24.79,0.3,12.916
0,credit_card,6.77,0.45,4.13947
0,debt_consolidation,12.99,0.4,5.70377
1,debt_consolidation,16.14,0.5,3.47255
1,credit_card,25.01,0.45,5.15187
1,debt_consolidation,17.02,0.55,13.8855
0,credit_card,4.34,0.7,14.1635
1,debt_consolidation,6.67,0.45,11.7306
0,other,4.08,0.4,3.40079
1,home_improvement,21.48,0.25,2.82566
0,other,16.19,0.5,7.33812
0,debt_consolidation,27.58,0.5,6.60683
1,debt_consolidation,18.19,0.25,14.8972
0,other,23.28,0.4,3.15374
1,debt_consolidation,14.0,0.35,6.32418
0,other,9.84,0.4,2.1474
0,debt_consolidation,26.14,0.75,6.88387
1,debt_consolidation,24.38,0.4,6.31813
0,debt_consolidation,20.99,0.3,8.0652
1,medical,20.03,0.35,7.14863
